ZCTA,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,BROAD,REMNRTY,POV150,NOHSDP,SNGPNT,UNEMP,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
30152,GA,165,69,30.25,28,54,4,35,43972,2.6,36.7,9.3,5.9,4.6,3.2,156.91803875193304,68.79377785863731,4,63.6768852906395,122.80542163194761,9.096697898662786,79.59610661329937
30153,GA,34,8,3,3,3,0,6,17836,16.6,15.6,31,14.5,5.1,4.9,44.853106077595875,16.819914779098454,1,16.819914779098454,16.819914779098454,0,33.63982955819691
30154,GA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30156,GA,2,2,1.25,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30157,GA,82,40,19,14,33,2,27,49757,11.6,26.2,12.8,10.4,8.4,3.1,80.39069879614928,38.18558192817091,2,28.13674457865225,66.32232650682316,4.019534939807464,54.26372168740077
30160,GA,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30161,GA,126,62,29.75,26,56,2,36,34529,19.4,30.7,31.2,15.6,8.4,6.6,179.55921109791768,86.15946016392019,4,75.2990240088042,162.1825132497321,5.792232616061861,104.2601870891135
30165,GA,97,37,17,17,30,0,21,41330,14.1,37.7,28.9,19.2,8.2,3,89.52334865714977,41.13234938301476,2,41.13234938301476,72.58649891120251,0,50.81054923784176
30168,GA,113,36,16.25,15,25,2,23,24737,6.9,89.8,27.3,14.4,12.4,10.4,145.53098597242996,65.69107005699964,3,60.63791082184582,101.06318470307636,8.085054776246109,92.97812992683025
30170,GA,5,1,0.5,0,1,0,1,3016,19.7,15.7,20.8,11,9.7,3.5,33.15649867374005,16.578249336870027,1,0,33.15649867374005,0,33.15649867374005
30171,GA,5,2,0.75,0,2,0,1,2603,22.5,7.5,13,13.2,4.3,4.9,76.83442182097579,28.812908182865925,2,0,76.83442182097579,0,38.417210910487896
30173,GA,4,1,0.5,1,1,0,0,6825,10.7,16.5,36,15.5,17.2,3.9,14.652014652014651,7.326007326007326,1,14.652014652014651,14.652014652014651,0,0
30175,GA,11,3,1,1,1,0,2,5523,16.3,15.2,19.8,17.1,4.3,11,54.31830526887561,18.10610175629187,1,18.10610175629187,18.10610175629187,0,36.21220351258374
30176,GA,11,4,1.75,2,2,0,3,7686,20.1,8.6,18.2,19,8.8,2.8,52.042674993494664,22.768670309653917,2,26.021337496747332,26.021337496747332,0,39.032006245120996
