FIPS,class,n,freq,primary_org_cat
01021,Youth,2,0.08695652173913043,Social & Fraternal
01023,Education,2,0.13333333333333333,Religious
01023,Hobby & Sports,1,0.06666666666666667,Religious
01023,Political,1,0.06666666666666667,Religious
01023,Professional,1,0.06666666666666667,Religious
01023,Religious,4,0.26666666666666666,Religious
01023,Social & Fraternal,2,0.13333333333333333,Religious
01023,Unions,3,0.2,Religious
01023,Youth,1,0.06666666666666667,Religious
01025,Economic,1,0.1,Social & Fraternal
01025,Hobby & Sports,1,0.1,Social & Fraternal
01025,Professional,1,0.1,Social & Fraternal
01025,Religious,1,0.1,Social & Fraternal
01025,Social & Fraternal,6,0.6,Social & Fraternal
01027,Economic,1,0.125,Social & Fraternal
01027,Education,1,0.125,Social & Fraternal
01027,Hobby & Sports,1,0.125,Social & Fraternal
01027,Social & Fraternal,3,0.375,Social & Fraternal
01027,Unions,1,0.125,Social & Fraternal
01027,Youth,1,0.125,Social & Fraternal
01029,Housing,1,0.16666666666666666,Social & Fraternal
01029,Professional,1,0.16666666666666666,Social & Fraternal
01029,Religious,1,0.16666666666666666,Social & Fraternal
01029,Social & Fraternal,2,0.3333333333333333,Social & Fraternal
01029,Youth,1,0.16666666666666666,Social & Fraternal
01031,Arts & Cultural,1,0.03125,Social & Fraternal
01031,Community,5,0.15625,Social & Fraternal
01031,Education,1,0.03125,Social & Fraternal
01031,Healthcare,2,0.0625,Social & Fraternal
01031,Hobby & Sports,3,0.09375,Social & Fraternal
01031,Housing,1,0.03125,Social & Fraternal
01031,Political,2,0.0625,Social & Fraternal
01031,Professional,1,0.03125,Social & Fraternal
01031,Religious,7,0.21875,Social & Fraternal
01031,Social & Fraternal,8,0.25,Social & Fraternal
01031,Unions,1,0.03125,Social & Fraternal
01033,Arts & Cultural,1,0.02,Social & Fraternal
01033,Community,3,0.06,Social & Fraternal
01033,Economic,4,0.08,Social & Fraternal
01033,Education,2,0.04,Social & Fraternal
01033,Hobby & Sports,4,0.08,Social & Fraternal
01033,Political,4,0.08,Social & Fraternal
01033,Professional,2,0.04,Social & Fraternal
01033,Religious,8,0.16,Social & Fraternal
01033,Research & Think Tank,1,0.02,Social & Fraternal
01033,Social & Fraternal,14,0.28,Social & Fraternal
01033,Unions,6,0.12,Social & Fraternal
01033,Youth,1,0.02,Social & Fraternal
01035,Economic,1,0.2,Economic
01035,Professional,1,0.2,Economic
01035,Religious,1,0.2,Economic
01035,Social & Fraternal,1,0.2,Economic
01035,Youth,1,0.2,Economic
01037,Healthcare,1,0.3333333333333333,Healthcare
01037,Professional,1,0.3333333333333333,Healthcare
01037,Social & Fraternal,1,0.3333333333333333,Healthcare
01039,Community,1,0.03225806451612903,Social & Fraternal
01039,Economic,1,0.03225806451612903,Social & Fraternal
01039,Healthcare,2,0.06451612903225806,Social & Fraternal
01039,Hobby & Sports,2,0.06451612903225806,Social & Fraternal
01039,Professional,4,0.12903225806451613,Social & Fraternal
01039,Religious,7,0.22580645161290322,Social & Fraternal
01039,Research & Think Tank,1,0.03225806451612903,Social & Fraternal
01039,Social & Fraternal,13,0.41935483870967744,Social & Fraternal
01041,Community,1,0.125,Healthcare
01041,Healthcare,2,0.25,Healthcare
01041,Hobby & Sports,1,0.125,Healthcare
01041,Professional,1,0.125,Healthcare
01041,Religious,1,0.125,Healthcare
01041,Social & Fraternal,2,0.25,Healthcare
01043,Arts & Cultural,3,0.047619047619047616,Religious
01043,Community,2,0.031746031746031744,Religious
01043,Economic,3,0.047619047619047616,Religious
01043,Education,3,0.047619047619047616,Religious
01043,Foundations,2,0.031746031746031744,Religious
01043,Healthcare,6,0.09523809523809523,Religious
01043,Hobby & Sports,3,0.047619047619047616,Religious
01043,Housing,2,0.031746031746031744,Religious
01043,Religious,18,0.2857142857142857,Religious
01043,Research & Think Tank,1,0.015873015873015872,Religious
01043,Social & Fraternal,15,0.23809523809523808,Religious
01043,Unions,3,0.047619047619047616,Religious
01043,Youth,2,0.031746031746031744,Religious
01045,Community,1,0.04,Religious
01045,Education,1,0.04,Religious
01045,Hobby & Sports,1,0.04,Religious
01045,Professional,1,0.04,Religious
01045,Religious,8,0.32,Religious
01045,Social & Fraternal,8,0.32,Religious
01045,Unions,1,0.04,Religious
01045,Youth,4,0.16,Religious
01047,Arts & Cultural,1,0.01818181818181818,Religious
01047,Community,1,0.01818181818181818,Religious
01047,Economic,5,0.09090909090909091,Religious
01047,Education,2,0.03636363636363636,Religious
01047,Foundations,1,0.01818181818181818,Religious
01047,Healthcare,4,0.07272727272727272,Religious
01047,Hobby & Sports,3,0.05454545454545454,Religious
01047,Housing,2,0.03636363636363636,Religious
01047,Political,8,0.14545454545454545,Religious
01047,Religious,13,0.23636363636363636,Religious
01047,Social & Fraternal,11,0.2,Religious
01047,Youth,4,0.07272727272727272,Religious
01049,Community,4,0.09302325581395349,Social & Fraternal
01049,Economic,1,0.023255813953488372,Social & Fraternal
01049,Healthcare,1,0.023255813953488372,Social & Fraternal
01049,Hobby & Sports,1,0.023255813953488372,Social & Fraternal
01049,Political,1,0.023255813953488372,Social & Fraternal
01049,Professional,1,0.023255813953488372,Social & Fraternal
01049,Religious,13,0.3023255813953488,Social & Fraternal
01049,Social & Fraternal,18,0.4186046511627907,Social & Fraternal
01049,Unions,1,0.023255813953488372,Social & Fraternal
01049,Youth,2,0.046511627906976744,Social & Fraternal
01051,Community,2,0.0425531914893617,Social & Fraternal
01051,Education,2,0.0425531914893617,Social & Fraternal
01051,Healthcare,4,0.0851063829787234,Social & Fraternal
01051,Hobby & Sports,6,0.1276595744680851,Social & Fraternal
01051,Housing,3,0.06382978723404255,Social & Fraternal
01051,Political,1,0.02127659574468085,Social & Fraternal
01051,Professional,2,0.0425531914893617,Social & Fraternal
01051,Religious,9,0.19148936170212766,Social & Fraternal
01051,Social & Fraternal,15,0.3191489361702128,Social & Fraternal
01051,Youth,3,0.06382978723404255,Social & Fraternal
01053,Economic,6,0.2222222222222222,Religious
01053,Education,2,0.07407407407407407,Religious
01053,Healthcare,2,0.07407407407407407,Religious
01053,Hobby & Sports,1,0.037037037037037035,Religious
01053,Professional,1,0.037037037037037035,Religious
01053,Religious,7,0.25925925925925924,Religious
01053,Social & Fraternal,6,0.2222222222222222,Religious
01053,Unions,1,0.037037037037037035,Religious
01053,Youth,1,0.037037037037037035,Religious
01055,Arts & Cultural,4,0.043010752688172046,Social & Fraternal
01055,Community,3,0.03225806451612903,Social & Fraternal
01055,Economic,6,0.06451612903225806,Social & Fraternal
01055,Education,9,0.0967741935483871,Social & Fraternal
01055,Healthcare,1,0.010752688172043012,Social & Fraternal
01055,Hobby & Sports,7,0.07526881720430108,Social & Fraternal
01055,Housing,1,0.010752688172043012,Social & Fraternal
01055,Political,1,0.010752688172043012,Social & Fraternal
01055,Professional,9,0.0967741935483871,Social & Fraternal
01055,Religious,19,0.20430107526881722,Social & Fraternal
01055,Social & Fraternal,24,0.25806451612903225,Social & Fraternal
01055,Unions,5,0.053763440860215055,Social & Fraternal
01055,Youth,4,0.043010752688172046,Social & Fraternal
01057,Arts & Cultural,1,0.07142857142857142,Social & Fraternal
01057,Community,2,0.14285714285714285,Social & Fraternal
01057,Economic,1,0.07142857142857142,Social & Fraternal
01057,Education,1,0.07142857142857142,Social & Fraternal
01057,Housing,1,0.07142857142857142,Social & Fraternal
01057,Professional,1,0.07142857142857142,Social & Fraternal
01057,Religious,1,0.07142857142857142,Social & Fraternal
01057,Social & Fraternal,6,0.42857142857142855,Social & Fraternal
01059,Professional,1,0.1,Social & Fraternal
01059,Social & Fraternal,9,0.9,Social & Fraternal
01061,Community,1,0.05555555555555555,Religious
01061,Economic,1,0.05555555555555555,Religious
01061,Education,1,0.05555555555555555,Religious
01061,Hobby & Sports,1,0.05555555555555555,Religious
01061,Political,1,0.05555555555555555,Religious
01061,Religious,7,0.3888888888888889,Religious
01061,Social & Fraternal,5,0.2777777777777778,Religious
01061,Youth,1,0.05555555555555555,Religious
01063,Education,1,0.125,Political
01063,Foundations,1,0.125,Political
01063,Healthcare,1,0.125,Political
01063,Housing,1,0.125,Political
01063,Political,2,0.25,Political
01063,Religious,1,0.125,Political
01063,Social & Fraternal,1,0.125,Political
01065,Arts & Cultural,1,0.08333333333333333,Healthcare
01065,Education,1,0.08333333333333333,Healthcare
01065,Healthcare,3,0.25,Healthcare
01065,Religious,3,0.25,Healthcare
01065,Social & Fraternal,3,0.25,Healthcare
01065,Youth,1,0.08333333333333333,Healthcare
01067,Education,1,0.07692307692307693,Religious
01067,Hobby & Sports,2,0.15384615384615385,Religious
01067,Religious,6,0.46153846153846156,Religious
01067,Social & Fraternal,3,0.23076923076923078,Religious
01067,Youth,1,0.07692307692307693,Religious
01069,Arts & Cultural,3,0.027522935779816515,Religious
01069,Community,4,0.03669724770642202,Religious
01069,Economic,3,0.027522935779816515,Religious
01069,Education,4,0.03669724770642202,Religious
01069,Foundations,1,0.009174311926605505,Religious
01069,Healthcare,4,0.03669724770642202,Religious
01069,Hobby & Sports,6,0.05504587155963303,Religious
01069,Housing,4,0.03669724770642202,Religious
01069,Political,1,0.009174311926605505,Religious
01069,Professional,5,0.045871559633027525,Religious
01069,Religious,40,0.3669724770642202,Religious
01069,Social & Fraternal,25,0.22935779816513763,Religious
01069,Unions,2,0.01834862385321101,Religious
01069,Youth,7,0.06422018348623854,Religious
01071,Arts & Cultural,1,0.027777777777777776,Social & Fraternal
01071,Community,3,0.08333333333333333,Social & Fraternal
01071,Foundations,2,0.05555555555555555,Social & Fraternal
01071,Healthcare,2,0.05555555555555555,Social & Fraternal
01071,Hobby & Sports,2,0.05555555555555555,Social & Fraternal
01071,Political,2,0.05555555555555555,Social & Fraternal
01071,Professional,1,0.027777777777777776,Social & Fraternal
01071,Religious,5,0.1388888888888889,Social & Fraternal
01071,Research & Think Tank,1,0.027777777777777776,Social & Fraternal
01071,Social & Fraternal,12,0.3333333333333333,Social & Fraternal
01071,Unions,2,0.05555555555555555,Social & Fraternal
01071,Youth,3,0.08333333333333333,Social & Fraternal
01073,Arts & Cultural,53,0.0462478184991274,Religious
01073,Community,40,0.034904013961605584,Religious
01073,Economic,52,0.04537521815008726,Religious
01073,Education,74,0.06457242582897033,Religious
01073,Foundations,45,0.03926701570680628,Religious
01073,Healthcare,59,0.05148342059336824,Religious
01073,Hobby & Sports,79,0.06893542757417102,Religious
01073,Housing,24,0.020942408376963352,Religious
01073,Political,27,0.02356020942408377,Religious
01073,Professional,75,0.06544502617801047,Religious
01073,Religious,234,0.20418848167539266,Religious
01073,Research & Think Tank,50,0.04363001745200698,Religious
01073,Social & Fraternal,204,0.17801047120418848,Religious
01073,Unions,42,0.03664921465968586,Religious
01073,Youth,88,0.07678883071553229,Religious
01075,Healthcare,1,0.25,Social & Fraternal
01075,Social & Fraternal,3,0.75,Social & Fraternal
01077,Arts & Cultural,3,0.02912621359223301,Social & Fraternal
01077,Community,5,0.04854368932038835,Social & Fraternal
01077,Economic,5,0.04854368932038835,Social & Fraternal
01077,Education,3,0.02912621359223301,Social & Fraternal
01077,Foundations,3,0.02912621359223301,Social & Fraternal
01077,Healthcare,3,0.02912621359223301,Social & Fraternal
01077,Hobby & Sports,3,0.02912621359223301,Social & Fraternal
01077,Housing,1,0.009708737864077669,Social & Fraternal
01077,Political,4,0.038834951456310676,Social & Fraternal
01077,Professional,5,0.04854368932038835,Social & Fraternal
01077,Religious,25,0.24271844660194175,Social & Fraternal
01077,Research & Think Tank,3,0.02912621359223301,Social & Fraternal
01077,Social & Fraternal,35,0.33980582524271846,Social & Fraternal
01077,Unions,3,0.02912621359223301,Social & Fraternal
01077,Youth,2,0.019417475728155338,Social & Fraternal
01079,Arts & Cultural,1,0.05555555555555555,Social & Fraternal
01079,Community,2,0.1111111111111111,Social & Fraternal
01079,Economic,1,0.05555555555555555,Social & Fraternal
01079,Education,2,0.1111111111111111,Social & Fraternal
01079,Hobby & Sports,2,0.1111111111111111,Social & Fraternal
01079,Religious,3,0.16666666666666666,Social & Fraternal
01079,Social & Fraternal,5,0.2777777777777778,Social & Fraternal
01079,Unions,1,0.05555555555555555,Social & Fraternal
01079,Youth,1,0.05555555555555555,Social & Fraternal
01081,Arts & Cultural,8,0.04040404040404041,Social & Fraternal
01081,Community,4,0.020202020202020204,Social & Fraternal
01081,Economic,6,0.030303030303030304,Social & Fraternal
01081,Education,19,0.09595959595959595,Social & Fraternal
01081,Foundations,5,0.025252525252525252,Social & Fraternal
01081,Healthcare,5,0.025252525252525252,Social & Fraternal
01081,Hobby & Sports,10,0.050505050505050504,Social & Fraternal
01081,Housing,1,0.005050505050505051,Social & Fraternal
01081,Political,3,0.015151515151515152,Social & Fraternal
01081,Professional,10,0.050505050505050504,Social & Fraternal
01081,Religious,42,0.21212121212121213,Social & Fraternal
01081,Research & Think Tank,11,0.05555555555555555,Social & Fraternal
01081,Social & Fraternal,64,0.32323232323232326,Social & Fraternal
01081,Unions,2,0.010101010101010102,Social & Fraternal
01081,Youth,8,0.04040404040404041,Social & Fraternal
01083,Arts & Cultural,3,0.04477611940298507,Social & Fraternal
01083,Community,2,0.029850746268656716,Social & Fraternal
01083,Economic,5,0.07462686567164178,Social & Fraternal
01083,Education,5,0.07462686567164178,Social & Fraternal
01083,Hobby & Sports,8,0.11940298507462686,Social & Fraternal
01083,Political,1,0.014925373134328358,Social & Fraternal
01083,Professional,4,0.05970149253731343,Social & Fraternal
01083,Religious,11,0.16417910447761194,Social & Fraternal
01083,Research & Think Tank,1,0.014925373134328358,Social & Fraternal
01083,Social & Fraternal,24,0.3582089552238806,Social & Fraternal
01083,Youth,3,0.04477611940298507,Social & Fraternal
01085,Housing,1,0.25,Social & Fraternal
01085,Political,1,0.25,Social & Fraternal
01085,Social & Fraternal,2,0.5,Social & Fraternal
01087,Arts & Cultural,1,0.05263157894736842,Social & Fraternal
01087,Community,1,0.05263157894736842,Social & Fraternal
01087,Hobby & Sports,1,0.05263157894736842,Social & Fraternal
01087,Professional,3,0.15789473684210525,Social & Fraternal
01087,Religious,1,0.05263157894736842,Social & Fraternal
01087,Research & Think Tank,3,0.15789473684210525,Social & Fraternal
01087,Social & Fraternal,8,0.42105263157894735,Social & Fraternal
01087,Youth,1,0.05263157894736842,Social & Fraternal
01089,Arts & Cultural,27,0.04804270462633452,Religious
01089,Community,29,0.051601423487544484,Religious
01089,Economic,28,0.0498220640569395,Religious
01089,Education,53,0.09430604982206406,Religious
01089,Foundations,13,0.023131672597864767,Religious
01089,Healthcare,22,0.03914590747330961,Religious
01089,Hobby & Sports,42,0.07473309608540925,Religious
01089,Housing,7,0.012455516014234875,Religious
01089,Political,16,0.028469750889679714,Religious
01089,Professional,29,0.051601423487544484,Religious
01089,Religious,123,0.2188612099644128,Religious
01089,Research & Think Tank,22,0.03914590747330961,Religious
01089,Social & Fraternal,106,0.18861209964412812,Religious
01089,Unions,6,0.010676156583629894,Religious
01089,Youth,39,0.0693950177935943,Religious
01091,Community,1,0.07692307692307693,Religious
01091,Education,1,0.07692307692307693,Religious
01091,Professional,2,0.15384615384615385,Religious
01091,Religious,4,0.3076923076923077,Religious
01091,Social & Fraternal,4,0.3076923076923077,Religious
01091,Unions,1,0.07692307692307693,Religious
01093,Healthcare,1,0.06666666666666667,Religious
01093,Hobby & Sports,1,0.06666666666666667,Religious
