state,FIPS,class,n,normalized_n,freq,primary_org_cat,TotalPopulation
AL,01057,Professional,1,6.110601894286588e-5,0.06666666666666667,Social & Fraternal,16365
AL,01057,Religious,1,6.110601894286588e-5,0.06666666666666667,Social & Fraternal,16365
AL,01057,Social & Fraternal,5,3.0553009471432935e-4,0.3333333333333333,Social & Fraternal,16365
AL,01057,NA,3,1.8331805682859762e-4,0.2,Social & Fraternal,16365
AL,01059,Professional,1,3.121683211587688e-5,0.1,Social & Fraternal,32034
AL,01059,Social & Fraternal,7,2.1851782481113817e-4,0.7,Social & Fraternal,32034
AL,01059,NA,2,6.243366423175376e-5,0.2,Social & Fraternal,32034
AL,01061,Community,1,3.7588332581566684e-5,0.05263157894736842,Religious,26604
AL,01061,Hobby & Sports,1,3.7588332581566684e-5,0.05263157894736842,Religious,26604
AL,01061,Political,1,3.7588332581566684e-5,0.05263157894736842,Religious,26604
AL,01061,Religious,6,2.255299954894001e-4,0.3157894736842105,Religious,26604
AL,01061,Social & Fraternal,5,1.879416629078334e-4,0.2631578947368421,Religious,26604
AL,01061,Youth,1,3.7588332581566684e-5,0.05263157894736842,Religious,26604
AL,01061,NA,4,1.5035333032626674e-4,0.21052631578947367,Religious,26604
AL,01063,Education,1,1.273723092599669e-4,0.125,NA,7851
AL,01063,Foundations,1,1.273723092599669e-4,0.125,NA,7851
AL,01063,Healthcare,1,1.273723092599669e-4,0.125,NA,7851
AL,01063,Housing,1,1.273723092599669e-4,0.125,NA,7851
AL,01063,Religious,1,1.273723092599669e-4,0.125,NA,7851
AL,01063,NA,3,3.8211692777990065e-4,0.375,NA,7851
AL,01065,Education,1,6.74809366354005e-5,0.08333333333333333,NA,14819
AL,01065,Healthcare,1,6.74809366354005e-5,0.08333333333333333,NA,14819
AL,01065,Religious,1,6.74809366354005e-5,0.08333333333333333,NA,14819
AL,01065,Social & Fraternal,2,1.34961873270801e-4,0.16666666666666666,NA,14819
AL,01065,Youth,1,6.74809366354005e-5,0.08333333333333333,NA,14819
AL,01065,NA,6,4.04885619812403e-4,0.5,NA,14819
AL,01067,Education,1,5.825808330905913e-5,0.07692307692307693,Religious,17165
AL,01067,Hobby & Sports,2,1.1651616661811826e-4,0.15384615384615385,Religious,17165
AL,01067,Religious,6,3.495484998543548e-4,0.46153846153846156,Religious,17165
AL,01067,Social & Fraternal,2,1.1651616661811826e-4,0.15384615384615385,Religious,17165
AL,01067,Youth,1,5.825808330905913e-5,0.07692307692307693,Religious,17165
AL,01067,NA,1,5.825808330905913e-5,0.07692307692307693,Religious,17165
AL,01069,Arts & Cultural,3,2.8207418551078934e-5,0.026785714285714284,Religious,106355
AL,01069,Community,3,2.8207418551078934e-5,0.026785714285714284,Religious,106355
AL,01069,Economic,2,1.8804945700719288e-5,0.017857142857142856,Religious,106355
AL,01069,Education,4,3.7609891401438576e-5,0.03571428571428571,Religious,106355
AL,01069,Foundations,1,9.402472850359644e-6,0.008928571428571428,Religious,106355
AL,01069,Healthcare,3,2.8207418551078934e-5,0.026785714285714284,Religious,106355
AL,01069,Hobby & Sports,5,4.701236425179822e-5,0.044642857142857144,Religious,106355
AL,01069,Housing,2,1.8804945700719288e-5,0.017857142857142856,Religious,106355
AL,01069,Political,1,9.402472850359644e-6,0.008928571428571428,Religious,106355
AL,01069,Professional,5,4.701236425179822e-5,0.044642857142857144,Religious,106355
AL,01069,Religious,34,3.196840769122279e-4,0.30357142857142855,Religious,106355
AL,01069,Social & Fraternal,22,2.0685440270791218e-4,0.19642857142857142,Religious,106355
AL,01069,Unions,1,9.402472850359644e-6,0.008928571428571428,Religious,106355
AL,01069,Youth,5,4.701236425179822e-5,0.044642857142857144,Religious,106355
AL,01069,NA,21,1.9745192985755255e-4,0.1875,Religious,106355
AL,01071,Arts & Cultural,1,1.9030219989343076e-5,0.02702702702702703,Social & Fraternal,52548
AL,01071,Community,2,3.806043997868615e-5,0.05405405405405406,Social & Fraternal,52548
AL,01071,Foundations,1,1.9030219989343076e-5,0.02702702702702703,Social & Fraternal,52548
AL,01071,Healthcare,2,3.806043997868615e-5,0.05405405405405406,Social & Fraternal,52548
AL,01071,Hobby & Sports,2,3.806043997868615e-5,0.05405405405405406,Social & Fraternal,52548
AL,01071,Political,1,1.9030219989343076e-5,0.02702702702702703,Social & Fraternal,52548
AL,01071,Professional,1,1.9030219989343076e-5,0.02702702702702703,Social & Fraternal,52548
AL,01071,Religious,2,3.806043997868615e-5,0.05405405405405406,Social & Fraternal,52548
AL,01071,Research & Think Tank,1,1.9030219989343076e-5,0.02702702702702703,Social & Fraternal,52548
AL,01071,Social & Fraternal,12,2.2836263987211693e-4,0.32432432432432434,Social & Fraternal,52548
AL,01071,Unions,2,3.806043997868615e-5,0.05405405405405406,Social & Fraternal,52548
AL,01071,Youth,2,3.806043997868615e-5,0.05405405405405406,Social & Fraternal,52548
AL,01071,NA,8,1.522417599147446e-4,0.21621621621621623,Social & Fraternal,52548
AL,01073,Arts & Cultural,47,6.988328005352762e-5,0.039729501267962805,Religious,672550
AL,01073,Community,38,5.6501375362426586e-5,0.032121724429416736,Religious,672550
AL,01073,Economic,47,6.988328005352762e-5,0.039729501267962805,Religious,672550
AL,01073,Education,56,8.326518474462865e-5,0.047337278106508875,Religious,672550
AL,01073,Foundations,38,5.6501375362426586e-5,0.032121724429416736,Religious,672550
AL,01073,Healthcare,53,7.880454984759497e-5,0.044801352493660185,Religious,672550
AL,01073,Hobby & Sports,68,1.0110772433276336e-4,0.057480980557903634,Religious,672550
AL,01073,Housing,20,2.973756598022452e-5,0.0169061707523246,Religious,672550
AL,01073,Political,22,3.271132257824697e-5,0.018596787827557058,Religious,672550
AL,01073,Professional,69,1.0259460263177459e-4,0.058326289095519866,Religious,672550
AL,01073,Religious,207,3.077838078953238e-4,0.1749788672865596,Religious,672550
AL,01073,Research & Think Tank,42,6.24488885584715e-5,0.03550295857988166,Religious,672550
AL,01073,Social & Fraternal,171,2.5425618913091965e-4,0.1445477599323753,Religious,672550
AL,01073,Unions,37,5.5014497063415356e-5,0.03127641589180051,Religious,672550
AL,01073,Youth,75,1.1151587242584194e-4,0.06339814032121724,Religious,672550
AL,01073,NA,193,2.869675117091666e-4,0.16314454775993237,Religious,672550
AL,01075,Social & Fraternal,3,2.1537798836958864e-4,0.75,Social & Fraternal,13929
AL,01075,NA,1,7.179266278986288e-5,0.25,Social & Fraternal,13929
AL,01077,Arts & Cultural,1,1.0713290908701336e-5,0.009615384615384616,NA,93342
AL,01077,Community,2,2.142658181740267e-5,0.019230769230769232,NA,93342
AL,01077,Economic,3,3.2139872726104e-5,0.028846153846153848,NA,93342
AL,01077,Education,2,2.142658181740267e-5,0.019230769230769232,NA,93342
AL,01077,Foundations,1,1.0713290908701336e-5,0.009615384615384616,NA,93342
AL,01077,Healthcare,2,2.142658181740267e-5,0.019230769230769232,NA,93342
AL,01077,Hobby & Sports,3,3.2139872726104e-5,0.028846153846153848,NA,93342
AL,01077,Political,3,3.2139872726104e-5,0.028846153846153848,NA,93342
AL,01077,Professional,4,4.285316363480534e-5,0.038461538461538464,NA,93342
AL,01077,Religious,15,1.6069936363052002e-4,0.14423076923076922,NA,93342
AL,01077,Research & Think Tank,2,2.142658181740267e-5,0.019230769230769232,NA,93342
AL,01077,Social & Fraternal,15,1.6069936363052002e-4,0.14423076923076922,NA,93342
AL,01077,Unions,1,1.0713290908701336e-5,0.009615384615384616,NA,93342
AL,01077,Youth,1,1.0713290908701336e-5,0.009615384615384616,NA,93342
AL,01077,NA,49,5.249512545263654e-4,0.47115384615384615,NA,93342
AL,01079,Arts & Cultural,1,3.0221523769228446e-5,0.05555555555555555,Social & Fraternal,33089
AL,01079,Community,2,6.044304753845689e-5,0.1111111111111111,Social & Fraternal,33089
AL,01079,Economic,1,3.0221523769228446e-5,0.05555555555555555,Social & Fraternal,33089
AL,01079,Education,2,6.044304753845689e-5,0.1111111111111111,Social & Fraternal,33089
AL,01079,Hobby & Sports,1,3.0221523769228446e-5,0.05555555555555555,Social & Fraternal,33089
AL,01079,Religious,3,9.066457130768533e-5,0.16666666666666666,Social & Fraternal,33089
AL,01079,Social & Fraternal,5,1.5110761884614223e-4,0.2777777777777778,Social & Fraternal,33089
AL,01079,Unions,1,3.0221523769228446e-5,0.05555555555555555,Social & Fraternal,33089
AL,01079,NA,2,6.044304753845689e-5,0.1111111111111111,Social & Fraternal,33089
AL,01081,Arts & Cultural,6,3.483855234202168e-5,0.029411764705882353,NA,172223
AL,01081,Community,4,2.322570156134779e-5,0.0196078431372549,NA,172223
AL,01081,Economic,1,5.806425390336947e-6,0.004901960784313725,NA,172223
AL,01081,Education,11,6.387067929370642e-5,0.05392156862745098,NA,172223
AL,01081,Foundations,5,2.9032126951684736e-5,0.024509803921568627,NA,172223
AL,01081,Healthcare,4,2.322570156134779e-5,0.0196078431372549,NA,172223
AL,01081,Hobby & Sports,8,4.645140312269558e-5,0.0392156862745098,NA,172223
AL,01081,Housing,1,5.806425390336947e-6,0.004901960784313725,NA,172223
AL,01081,Political,3,1.741927617101084e-5,0.014705882352941176,NA,172223
AL,01081,Professional,3,1.741927617101084e-5,0.014705882352941176,NA,172223
AL,01081,Religious,34,1.974184632714562e-4,0.16666666666666666,NA,172223
AL,01081,Research & Think Tank,3,1.741927617101084e-5,0.014705882352941176,NA,172223
AL,01081,Social & Fraternal,35,2.0322488866179314e-4,0.1715686274509804,NA,172223
AL,01081,Unions,2,1.1612850780673894e-5,0.00980392156862745,NA,172223
AL,01081,Youth,8,4.645140312269558e-5,0.0392156862745098,NA,172223
AL,01081,NA,76,4.41288329665608e-4,0.37254901960784315,NA,172223
AL,01083,Arts & Cultural,3,2.963928984261537e-5,0.04411764705882353,Social & Fraternal,101217
AL,01083,Community,1,9.87976328087179e-6,0.014705882352941176,Social & Fraternal,101217
AL,01083,Education,4,3.951905312348716e-5,0.058823529411764705,Social & Fraternal,101217
AL,01083,Hobby & Sports,6,5.927857968523074e-5,0.08823529411764706,Social & Fraternal,101217
AL,01083,Professional,3,2.963928984261537e-5,0.04411764705882353,Social & Fraternal,101217
AL,01083,Religious,9,8.891786952784612e-5,0.1323529411764706,Social & Fraternal,101217
AL,01083,Social & Fraternal,22,2.1735479217917938e-4,0.3235294117647059,Social & Fraternal,101217
AL,01083,Youth,2,1.975952656174358e-5,0.029411764705882353,Social & Fraternal,101217
AL,01083,NA,18,1.7783573905569224e-4,0.2647058823529412,Social & Fraternal,101217
AL,01085,Housing,1,9.676795045480937e-5,0.25,Social & Fraternal,10334
AL,01085,Political,1,9.676795045480937e-5,0.25,Social & Fraternal,10334
AL,01085,Social & Fraternal,2,1.9353590090961874e-4,0.5,Social & Fraternal,10334
AL,01087,Community,1,5.13083632632119e-5,0.047619047619047616,NA,19490
AL,01087,Hobby & Sports,1,5.13083632632119e-5,0.047619047619047616,NA,19490
AL,01087,Professional,2,1.026167265264238e-4,0.09523809523809523,NA,19490
AL,01087,Religious,1,5.13083632632119e-5,0.047619047619047616,NA,19490
AL,01087,Research & Think Tank,2,1.026167265264238e-4,0.09523809523809523,NA,19490
AL,01087,Social & Fraternal,4,2.052334530528476e-4,0.19047619047619047,NA,19490
AL,01087,Youth,1,5.13083632632119e-5,0.047619047619047616,NA,19490
AL,01087,NA,9,4.617752693689071e-4,0.42857142857142855,NA,19490
AL,01089,Arts & Cultural,25,6.541950914433899e-5,0.04355400696864112,Religious,382149
AL,01089,Community,28,7.326985024165966e-5,0.04878048780487805,Religious,382149
AL,01089,Economic,25,6.541950914433899e-5,0.04355400696864112,Religious,382149
AL,01089,Education,46,1.2037189682558374e-4,0.08013937282229965,Religious,382149
AL,01089,Foundations,10,2.6167803657735597e-5,0.017421602787456445,Religious,382149
AL,01089,Healthcare,18,4.710204658392407e-5,0.0313588850174216,Religious,382149
AL,01089,Hobby & Sports,39,1.0205443426516882e-4,0.06794425087108014,Religious,382149
AL,01089,Housing,6,1.570068219464136e-5,0.010452961672473868,Religious,382149
AL,01089,Political,13,3.4018144755056275e-5,0.02264808362369338,Religious,382149
AL,01089,Professional,19,4.971882694969763e-5,0.033101045296167246,Religious,382149
AL,01089,Religious,107,2.799954991377709e-4,0.18641114982578397,Religious,382149
AL,01089,Research & Think Tank,20,5.2335607315471194e-5,0.03484320557491289,Religious,382149
AL,01089,Social & Fraternal,88,2.3027667218807323e-4,0.15331010452961671,Religious,382149
AL,01089,Unions,3,7.85034109732068e-6,0.005226480836236934,Religious,382149
AL,01089,Youth,35,9.158731280207458e-5,0.06097560975609756,Religious,382149
AL,01089,NA,92,2.4074379365116749e-4,0.1602787456445993,Religious,382149
AL,01091,Community,1,5.155436407691911e-5,0.07142857142857142,NA,19397
AL,01091,Education,1,5.155436407691911e-5,0.07142857142857142,NA,19397
AL,01091,Professional,1,5.155436407691911e-5,0.07142857142857142,NA,19397
AL,01091,Religious,3,1.5466309223075733e-4,0.21428571428571427,NA,19397
AL,01091,Social & Fraternal,2,1.0310872815383823e-4,0.14285714285714285,NA,19397
AL,01091,Unions,1,5.155436407691911e-5,0.07142857142857142,NA,19397
AL,01091,NA,5,2.5777182038459555e-4,0.35714285714285715,NA,19397
AL,01093,Healthcare,1,3.402286336418073e-5,0.0625,NA,29392
AL,01093,Hobby & Sports,1,3.402286336418073e-5,0.0625,NA,29392
AL,01093,Professional,1,3.402286336418073e-5,0.0625,NA,29392
AL,01093,Religious,3,1.0206859009254218e-4,0.1875,NA,29392
AL,01093,Social & Fraternal,4,1.3609145345672293e-4,0.25,NA,29392
AL,01093,Unions,1,3.402286336418073e-5,0.0625,NA,29392
AL,01093,NA,5,1.7011431682090365e-4,0.3125,NA,29392
AL,01095,Arts & Cultural,2,2.0580578108439066e-5,0.031746031746031744,NA,97179
AL,01095,Community,5,5.145144527109767e-5,0.07936507936507936,NA,97179
AL,01095,Economic,6,6.17417343253172e-5,0.09523809523809523,NA,97179
AL,01095,Education,1,1.0290289054219533e-5,0.015873015873015872,NA,97179
AL,01095,Foundations,1,1.0290289054219533e-5,0.015873015873015872,NA,97179
AL,01095,Healthcare,3,3.08708671626586e-5,0.047619047619047616,NA,97179
AL,01095,Hobby & Sports,4,4.116115621687813e-5,0.06349206349206349,NA,97179
AL,01095,Housing,1,1.0290289054219533e-5,0.015873015873015872,NA,97179
AL,01095,Religious,9,9.26126014879758e-5,0.14285714285714285,NA,97179
AL,01095,Research & Think Tank,1,1.0290289054219533e-5,0.015873015873015872,NA,97179
AL,01095,Social & Fraternal,12,1.234834686506344e-4,0.19047619047619047,NA,97179
AL,01095,Youth,2,2.0580578108439066e-5,0.031746031746031744,NA,97179
AL,01095,NA,16,1.6464462486751253e-4,0.25396825396825395,NA,97179
AL,01097,Arts & Cultural,25,6.029617481067001e-5,0.05241090146750524,Religious,414620
AL,01097,Community,48,1.1576865563648642e-4,0.10062893081761007,Religious,414620
AL,01097,Economic,21,5.064878684096281e-5,0.0440251572327044,Religious,414620
AL,01097,Education,17,4.100139887125561e-5,0.03563941299790356,Religious,414620
AL,01097,Foundations,4,9.647387969707202e-6,0.008385744234800839,Religious,414620
AL,01097,Healthcare,7,1.6882928946987603e-5,0.014675052410901468,Religious,414620
AL,01097,Hobby & Sports,19,4.582509285610921e-5,0.039832285115303984,Religious,414620
AL,01097,Housing,5,1.2059234962134002e-5,0.010482180293501049,Religious,414620
AL,01097,Political,10,2.4118469924268005e-5,0.020964360587002098,Religious,414620
AL,01097,Professional,19,4.582509285610921e-5,0.039832285115303984,Religious,414620
AL,01097,Religious,102,2.4600839322753363e-4,0.2138364779874214,Religious,414620
AL,01097,Research & Think Tank,9,2.1706622931841203e-5,0.018867924528301886,Religious,414620
AL,01097,Social & Fraternal,70,1.6882928946987603e-4,0.14675052410901468,Religious,414620
AL,01097,Unions,11,2.6530316916694803e-5,0.023060796645702306,Religious,414620
AL,01097,Youth,17,4.100139887125561e-5,0.03563941299790356,Religious,414620
AL,01097,NA,93,2.2430177029569243e-4,0.1949685534591195,Religious,414620
AL,01099,Arts & Cultural,1,4.971414367387522e-5,0.1,NA,20115
AL,01099,Economic,1,4.971414367387522e-5,0.1,NA,20115
AL,01099,Healthcare,1,4.971414367387522e-5,0.1,NA,20115
AL,01099,Hobby & Sports,1,4.971414367387522e-5,0.1,NA,20115
AL,01099,Social & Fraternal,2,9.942828734775044e-5,0.2,NA,20115
AL,01099,NA,4,1.9885657469550087e-4,0.4,NA,20115
AL,01101,Arts & Cultural,7,3.055807780959698e-5,0.015555555555555555,NA,229072
AL,01101,Community,7,3.055807780959698e-5,0.015555555555555555,NA,229072
AL,01101,Economic,26,1.1350143186421736e-4,0.057777777777777775,NA,229072
